country,year,electricity-only emissions incl autoprod
DK,2011,11.446604114599737
DK,2012,8.994231449253734
DK,2013,10.972087541829032
DK,2014,8.948791759633673
DK,2015,6.730841772475799
DK,2016,7.762860453107975
DK,2017,5.8783170321974545
DK,2018,5.985501060936752
EE,1990,23.33176914179197
EE,1991,20.212442113095722
EE,1992,15.189505988203496
EE,1993,11.680987576207514
EE,1994,13.358286261325068
EE,1995,12.761604744736298
EE,1996,13.198745815481882
EE,1997,12.65263686475442
EE,1998,11.627189649808289
EE,1999,10.94404520047924
EE,2000,10.309743401577764
EE,2001,10.205745127906253
EE,2002,10.012698484845583
EE,2003,11.761365288092707
EE,2004,11.795436816310056
EE,2005,11.340862508713567
EE,2006,10.579755212642922
EE,2007,13.637240662692138
EE,2008,11.665019028583352
EE,2009,9.186948183912355
EE,2010,13.326406125742915
EE,2011,13.269723413294729
EE,2012,11.723349458678106
EE,2013,13.422442562821955
EE,2014,12.53604442905937
EE,2015,9.728685307670274
EE,2016,11.093938119780933
EE,2017,11.940625023922268
EE,2018,10.893567957563572
ES,1990,65.56586648373394
ES,1991,66.27679793035666
ES,1992,73.94538977
ES,1993,68.12486808999999
ES,1994,66.89858299000001
ES,1995,72.72745721000001
ES,1996,59.511652749999996
ES,1997,71.58283822
ES,1998,71.29490582999998
ES,1999,86.45271934999998
ES,2000,91.10510637000002
ES,2001,85.61459163
ES,2002,99.93450243999999
ES,2003,92.75048383
ES,2004,101.87106086
ES,2005,111.82376345
ES,2006,103.14816345
ES,2007,109.25227472
ES,2008,92.10630116
ES,2009,76.50184078
ES,2010,59.711067570000004
ES,2011,73.62685769000001
ES,2012,78.54178369000002
ES,2013,58.77253726000001
ES,2014,62.85931377999999
ES,2015,73.51545731
ES,2016,58.20886903999999
ES,2017,68.0188897
ES,2018,58.986604500000006
FI,1990,14.333940078169416
FI,1991,14.045349162180488
FI,1992,13.714990207158504
FI,1993,16.174269448884743
FI,1994,20.23878505525749
FI,1995,18.119207293424555
FI,1996,22.29037661237833
FI,1997,20.373846508195452
FI,1998,17.64284907060026
FI,1999,17.068276392647366
FI,2000,15.56978045908635
FI,2001,19.92499664823999
FI,2002,21.76466656454037
FI,2003,27.842895732369183
FI,2004,24.470285220893786
FI,2005,15.05012640886879
FI,2006,24.0288671008774
FI,2007,22.5061864120939
FI,2008,17.050579890055904
FI,2009,17.84324090515206
FI,2010,22.02702921820736
FI,2011,17.23619837520795
FI,2012,14.023835061361012
FI,2013,15.300120532728544
FI,2014,14.366129198458347
FI,2015,12.03634279105378
FI,2016,13.51102854167566
FI,2017,12.21768603996039
FI,2018,13.450751623081727
FR,1990,48.89408420742751
FR,1991,49.95097701596024
FR,1992,50.98471076985862
FR,1993,39.01492890889693
FR,1994,35.206675428612655
FR,1995,37.79084305376628
FR,1996,41.86936699608508
FR,1997,37.67511273819498
FR,1998,50.161877033457635
FR,1999,44.14350798081447
FR,2000,42.81834967649888
FR,2001,36.41964557397111
FR,2002,40.3591625004491
FR,2003,43.75921593067018
FR,2004,42.573599910194496
FR,2005,47.90628331378537
FR,2006,43.966191080942245
FR,2007,44.063670473147674
FR,2008,43.14085941209615
FR,2009,42.528603194415844
FR,2010,44.6261944880469
FR,2011,36.7819956289792
FR,2012,39.898203877025495
FR,2013,40.41986110810376
FR,2014,28.04161671195599
FR,2015,30.575857482093436
FR,2016,33.940166986971455
FR,2017,38.51675779400624
FR,2018,31.274650660355338
GB,1990,203.11585003
GB,1991,199.72153375
GB,1992,187.71912068
GB,1993,170.38513074000002
GB,1994,166.21271414
GB,1995,163.15919829999999
GB,1996,162.83660761
GB,1997,150.33059011999998
GB,1998,155.43095651999997
GB,1999,142.47247050404715
GB,2000,153.59231740776997
GB,2001,164.57354799779097
GB,2002,160.79402226515748
GB,2003,170.33912511852668
GB,2004,171.09512849780182
GB,2005,170.20603803613974
GB,2006,179.00909379194704
GB,2007,174.60772358729704
GB,2008,169.2565952956823
GB,2009,148.3294462179315
GB,2010,154.340545251978
GB,2011,141.73143428374667
GB,2012,155.29551669746917
GB,2013,144.5914677856277
GB,2014,121.52368473760374
GB,2015,101.63650620510617
GB,2016,80.16703357902672
GB,2017,70.44177696645252
GB,2018,64.28089723224804
GR,1990,40.61671016
GR,1991,39.450145750000004
GR,1992,41.81196651000001
GR,1993,41.73795365
GR,1994,43.528140830000005
GR,1995,42.274833290000004
GR,1996,41.21209849
GR,1997,44.46820342759388
GR,1998,46.937840252919045
GR,1999,47.57860573284539
GR,2000,51.39705718473214
GR,2001,51.87291732298277
GR,2002,51.18944930211261
GR,2003,52.51012279893748
GR,2004,53.6684517716716
GR,2005,54.08281849353258
GR,2006,51.215057630753726
GR,2007,54.70935205366714
GR,2008,53.68642232370732
GR,2009,50.462426862588174
GR,2010,48.11268452326387
GR,2011,50.213922083710045
GR,2012,50.69840279616739
GR,2013,43.920815437643846
GR,2014,40.22903521383319
GR,2015,35.28764404094953
GR,2016,31.115814498838954
GR,2017,34.68040184340317
GR,2018,32.978404695958254
HR,1990,3.1035107930478514
HR,1991,2.022585482204682
HR,1992,2.9622561255716975
HR,1993,3.2229844061431296
HR,1994,2.0545651851932476
HR,1995,2.5028259535920103
HR,1996,2.3263326855332678
HR,1997,3.0590922386547788
HR,1998,3.706345426011838
HR,1999,3.9486618965405595
HR,2000,3.3446499769798614
HR,2001,4.03518528570547
HR,2002,4.666371386802905
HR,2003,5.200186858442061
HR,2004,4.176129164670112
HR,2005,4.186200620678939
HR,2006,4.223165008247423
HR,2007,5.061109967951976
HR,2008,4.565968890200201
HR,2009,3.882344043948615
HR,2010,3.519913242479934
HR,2011,3.636161138180377
HR,2012,3.29118452838656
HR,2013,3.1931049248779786
HR,2014,2.708528735208753
HR,2015,2.6810012247561623
HR,2016,2.9308470121611334
HR,2017,2.4529153957934415
HR,2018,2.0264231823554604
HU,1990,15.255923219293951
HU,1991,16.040924183905897
HU,1992,17.027543085236687
HU,1993,17.269055326386372
HU,1994,16.716883004496793
HU,1995,17.183836905456683
HU,1996,17.330767395721324
HU,1997,19.311096752056223
HU,1998,20.765794913886022
HU,1999,20.357034767725416
