country,year,electricity-only emissions
GB,2011,123.00460991960345
GB,2012,134.80208499985955
GB,2013,127.33922754101674
GB,2014,104.76485400535026
GB,2015,84.66989218368056
GB,2016,66.39969382259122
GB,2017,57.524691128221946
GB,2018,51.69075518202134
GR,1990,39.8259447637344
GR,1991,38.59177894440011
GR,1992,40.70696059496732
GR,1993,40.73414668614288
GR,1994,42.55654106178132
GR,1995,41.46814721907401
GR,1996,40.44717121339679
GR,1997,43.63220733755066
GR,1998,46.17215335373609
GR,1999,46.79824620223517
GR,2000,50.5440349210528
GR,2001,51.125671581724355
GR,2002,50.33780039281959
GR,2003,51.77610928136693
GR,2004,52.928958689681075
GR,2005,53.45121819963346
GR,2006,50.72542163258908
GR,2007,53.79748533242602
GR,2008,52.19277482418175
GR,2009,48.81648578112178
GR,2010,46.34697424349678
GR,2011,48.294541577775604
GR,2012,48.799705307963215
GR,2013,42.12046307314887
GR,2014,38.233813265766685
GR,2015,32.9160117144663
GR,2016,28.97041287017851
GR,2017,33.30631271013033
GR,2018,31.532744753123303
HR,1990,2.783712916020919
HR,1991,1.795564212929312
HR,1992,2.710944592050735
HR,1993,2.916605863967834
HR,1994,1.8039497545687229
HR,1995,2.1915526704945694
HR,1996,2.115097069075202
HR,1997,2.7776688934282627
HR,1998,3.4140218336377792
HR,1999,3.6662411150474634
HR,2000,3.0612710746478156
HR,2001,3.757501490806432
HR,2002,4.353588977564497
HR,2003,4.8522606974227305
HR,2004,3.907150651450623
HR,2005,3.9121824562480247
HR,2006,3.9732918165499966
HR,2007,4.767670665785183
HR,2008,4.327799381988117
HR,2009,3.7178097923458564
HR,2010,3.3554518549713452
HR,2011,3.4066193739429895
HR,2012,3.109824464469117
HR,2013,3.0636986173264336
HR,2014,2.5981755405046822
HR,2015,2.569996344489624
HR,2016,2.8141248144648316
HR,2017,2.318854683544429
HR,2018,1.936122758188144
HU,1990,14.798080946133362
HU,1991,15.60796919147344
HU,1992,16.57935822296658
HU,1993,16.829249144563363
HU,1994,16.281443043117275
HU,1995,16.751348766774512
HU,1996,16.920628077533543
HU,1997,19.01529114707692
HU,1998,20.59426250032008
HU,1999,20.204133445238416
HU,2000,18.505107189189175
HU,2001,19.01844754242948
HU,2002,18.08085149504284
HU,2003,19.235669559765192
HU,2004,17.711796526739995
HU,2005,16.078314815684248
HU,2006,16.18956111950353
HU,2007,17.610746078472584
HU,2008,16.628246880716997
HU,2009,13.796749685071983
HU,2010,14.287281451506267
HU,2011,13.744794251919272
HU,2012,13.535869476842112
HU,2013,11.176387665522387
HU,2014,10.49519392798353
HU,2015,10.90404632617614
HU,2016,10.595389094435859
HU,2017,10.892711388511572
HU,2018,10.003440161693328
IE,1990,10.686228228752226
IE,1991,11.185142998151473
IE,1992,11.845789001483338
IE,1993,11.858838731326992
IE,1994,12.163462797524737
IE,1995,12.836700252395296
IE,1996,13.548081737059935
IE,1997,14.168105134561275
IE,1998,14.423310143793175
IE,1999,15.101050682248843
IE,2000,15.274160720310046
IE,2001,16.39190594142077
IE,2002,15.409763442130856
IE,2003,14.74928963865787
IE,2004,14.370565442147356
IE,2005,14.780442029292699
IE,2006,13.808439058878168
IE,2007,13.209226560137418
IE,2008,13.292817799294477
IE,2009,11.744307346923975
IE,2010,11.99435544376638
IE,2011,10.731537301574027
IE,2012,11.399604162882207
IE,2013,10.084057231494265
IE,2014,9.978740525841605
IE,2015,10.491577416812472
IE,2016,11.246739959549092
IE,2017,10.509904157268734
IE,2018,9.313616751878403
IT,1990,97.41132257991919
IT,1991,91.78053280720334
IT,1992,91.47639727692443
IT,1993,85.10210155511326
IT,1994,86.6294678888155
IT,1995,94.36495263715382
IT,1996,88.63549730958215
IT,1997,83.27086980203374
IT,1998,82.24362538021988
IT,1999,78.00808035929403
IT,2000,108.4588460386608
IT,2001,106.00391677498496
IT,2002,114.8798649457129
IT,2003,114.51206365060544
IT,2004,113.17935974599389
IT,2005,98.15333666597279
IT,2006,100.9445622433624
IT,2007,98.08667110072827
IT,2008,97.78989098139807
IT,2009,83.57400554770909
IT,2010,80.77392054542946
IT,2011,77.47088243800746
IT,2012,78.39760549816434
IT,2013,66.62111039174412
IT,2014,60.59082045261041
IT,2015,65.6372386770391
IT,2016,63.59760050868917
IT,2017,64.9996840484727
IT,2018,57.53166962347454
LT,1990,10.120177433734234
LT,1991,10.862192833661766
LT,1992,6.397060004570522
LT,1993,4.968325403111166
LT,1994,4.977892505017017
LT,1995,4.668732191116194
LT,1996,5.2218463849249215
LT,1997,4.554339858925196
LT,1998,5.120017638887909
LT,1999,4.148224729906264
LT,2000,3.1880669107882524
LT,2001,3.4344265565198993
LT,2002,3.295795771347466
LT,2003,3.195363423687379
LT,2004,3.103091928809163
LT,2005,3.071572288466651
LT,2006,2.807083515186253
LT,2007,2.5800247649354007
LT,2008,2.3547225460593433
LT,2009,2.4421217734542133
LT,2010,2.066326931280846
LT,2011,1.4707455776301328
LT,2012,1.54031346206945
LT,2013,1.179352300967417
LT,2014,0.8892111305045393
LT,2015,0.9131112553979017
LT,2016,0.7484016840324521
LT,2017,0.5559180523576785
LT,2018,0.5143752776309676
LU,1990,0.004906681637923022
LU,1991,0.0050482956149261165
LU,1992,0.004957063896442395
LU,1993,0.004581971301482373
LU,1994,0.005618802504976339
LU,1995,0.018197803029497965
LU,1996,0.013784214567983394
LU,1997,0.02570923901107997
LU,1998,0.07815268824231394
LU,1999,0.08623306496057392
LU,2000,0.09706108186344918
LU,2001,0.24359770233656605
LU,2002,0.9425548565350589
LU,2003,0.8533821046191531
LU,2004,1.0504753018507904
LU,2005,1.0341585127492008
LU,2006,1.0856937991973463
LU,2007,1.0027423545488787
LU,2008,0.804372858790587
LU,2009,1.0104122265994677
LU,2010,0.9965664174156751
LU,2011,0.7987581911008734
LU,2012,0.8369640765395101
LU,2013,0.483349901460035
LU,2014,0.5004027381901057
LU,2015,0.3090552908082363
LU,2016,0.1275384540291483
LU,2017,0.12660050822370608
LU,2018,0.11205475228967057
LV,1990,3.3462421390369594
LV,1991,3.089241864485083
LV,1992,2.772243700974507
LV,1993,2.3753598959221405
LV,1994,2.2993304059908146
LV,1995,1.9647686030244103
LV,1996,1.905295177927497
LV,1997,1.9395124873814154
LV,1998,2.097410496122594
LV,1999,1.706071664628497
LV,2000,1.5387935957973533
LV,2001,1.5446595885579448
LV,2002,1.4251325788712552
LV,2003,1.3548093714935663
LV,2004,1.2399869239479786
LV,2005,1.2530589814187485
LV,2006,1.1861915456489045
LV,2007,1.1198772390052685
LV,2008,1.1867158827467612
LV,2009,1.1623307372844274
LV,2010,1.3962765637500978
LV,2011,1.2971187217060496
LV,2012,1.0902690599411395
LV,2013,1.1211374569194041
LV,2014,0.8861496686019654
LV,2015,0.9590419446403321
LV,2016,1.0071684388586035
LV,2017,1.0633322683220077
LV,2018,1.3094573581415654
MT,1990,1.7585151
MT,1991,1.59905046
MT,1992,1.5362549800000003
MT,1993,2.10182796
MT,1994,1.8091218
MT,1995,1.5904736800000001
MT,1996,1.64697654
